username,text,created_at,cleaned_text,sentiment
,"RT @Sissyai88: NO. 94  Robin - Honkai: Star Rail 50P
#nsfw #sexy #nude #AIç¾äºº #Porn #AIì‚¬ì§„ #æ¥µä¸Šã®ä¹³ #AIphoto #AIã‚¤ãƒ©ã‚¹ãƒˆ #Realistic #aigirls #AIartâ€¦",2025-03-17 04:59:41+00:00,rt sissyai88 94 robin honkai star rail 50p nsfw sexy nude aiç¾äºº porn aiì‚¬ì§„ æ¥µä¸Šã®ä¹³ aiphoto aiã‚¤ãƒ©ã‚¹ãƒˆ realistic aigirls aiartâ€¦,positive
,@Ammo_AI #AI #ammo,2025-03-17 04:59:40+00:00,ammoai ai ammo,neutral
,"RT @PerviRexartt: Update from the boy who likes them big... you know what I mean, Kanzaki's back!
#Ai #AIart #yaoi #yaoiAI #bl #boys #nsfwâ€¦",2025-03-17 04:59:36+00:00,rt pervirexartt update boy likes big know mean kanzakis back ai aiart yaoi yaoiai bl boys nsfwâ€¦,positive
,"RT @sexydoll_AI: No443 39P show half breast
View more at: https://t.co/rSCfHzCcq7 #stablediffusion #Realistic #aigirls #AIart #Aiç¾å¥³ #Aiå°‘å¥³ #â€¦",2025-03-17 04:59:35+00:00,rt sexydollai no443 39p show half breast view stablediffusion realistic aigirls aiart aiç¾å¥³ aiå°‘å¥³ â€¦,neutral
,"RT @_lovenight: No.448 38P cow girl
Download more -&gt; https://t.co/XcrMxe1wjd 
#lovenight #stablediffusion #Realistic #aigirls #AIart #Aiç¾å¥³â€¦",2025-03-17 04:59:31+00:00,rt lovenight no448 38p cow girl download gt lovenight stablediffusion realistic aigirls aiart aiç¾å¥³â€¦,positive
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI â€“ The Future of Scientific Collaboration ğŸ™ï¸ğŸ”— Tune in now: https://â€¦,2025-03-17 04:59:27+00:00,rt cessstorage live join us exclusive space desci amp ai â€“ future scientific collaboration ğŸ™ï¸ğŸ”— tune,positive
,"#ai, #robotics, #china, #springfestival, #militarytech, #artificialintelligence, #smartbots, #autonomoussystems, #festivaltechnology, #surveillance, #defenseinnovation, #autonomousdrones, #aiwarfare, #futuretech, #aiapplications,
https://t.co/OSfR5Ir7fB https://t.co/rNL3o82TtP",2025-03-17 04:59:27+00:00,ai robotics china springfestival militarytech artificialintelligence smartbots autonomoussystems festivaltechnology surveillance defenseinnovation autonomousdrones aiwarfare futuretech aiapplications,neutral
,"RT @ArcBlock_io: ğŸš€ ArcSphere is ArcBlockâ€™s new web browser with native support for Decentralized Identity, Blockchain, #dApps, and built-inâ€¦",2025-03-17 04:59:20+00:00,rt arcblockio ğŸš€ arcsphere arcblockâ€™s new web browser native support decentralized identity blockchain dapps builtinâ€¦,positive
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI â€“ The Future of Scientific Collaboration ğŸ™ï¸ğŸ”— Tune in now: https://â€¦,2025-03-17 04:59:17+00:00,rt cessstorage live join us exclusive space desci amp ai â€“ future scientific collaboration ğŸ™ï¸ğŸ”— tune,positive
,#Fox #Crypto @Crypto #Coin #Token #BullMarket #bullrun #Today #listing #list #meme #memes #veVelo @CryptoAI #listing #CMC #Binance @binance #BNB #news #Bullish #bullrun #buy #USAToday #Day @elonmusk @cz_binance @VitalikButerin @justinsuntron #CryptoAI #AI #ML #Web3 #bsc #nft https://t.co/mTrcNnrVsP,2025-03-17 04:59:16+00:00,fox crypto crypto coin token bullmarket bullrun today listing list meme memes vevelo cryptoai listing cmc binance binance bnb news bullish bullrun buy usatoday day elonmusk czbinance vitalikbuterin justinsuntron cryptoai ai ml web3 bsc nft,neutral
,RT @KirkDBorne: Introduction to Graph #NeuralNetworks â€” A Starting Point for #MachineLearning Engineers: https://t.co/Qqo6MLXXSe [49-page Pâ€¦,2025-03-17 04:59:14+00:00,rt kirkdborne introduction graph neuralnetworks â€” starting point machinelearning engineers 49page pâ€¦,neutral
,"RT @MerchverseAI: Threads of innovation, woven into the future of e-commerce. ğŸŒâœ¨

The seamless blend of #AI, #Web3, and creativity that powâ€¦",2025-03-17 04:59:12+00:00,rt merchverseai threads innovation woven future ecommerce ğŸŒâœ¨ seamless blend ai web3 creativity powâ€¦,positive
,#Fox #Crypto @Crypto #Coin #Token #BullMarket #bullrun #Today #listing #list #meme #memes #veVelo @CryptoAI #listing #CMC #Binance @binance #BNB #news #Bullish #bullrun #buy #USAToday #Day @elonmusk @cz_binance @VitalikButerin @justinsuntron #CryptoAI #AI #ML #Web3 #bsc #nft https://t.co/B2fmZGK28p,2025-03-17 04:59:10+00:00,fox crypto crypto coin token bullmarket bullrun today listing list meme memes vevelo cryptoai listing cmc binance binance bnb news bullish bullrun buy usatoday day elonmusk czbinance vitalikbuterin justinsuntron cryptoai ai ml web3 bsc nft,neutral
,I Recently Join This Project And Really This Is the totally Different From Other Projects That J seen @Ammo_AI #AI #ammo,2025-03-17 04:59:09+00:00,recently join project really totally different projects j seen ammoai ai ammo,positive
,"RT @CK113311: Flare FLR : ""Walk Away from the Darkness""â˜€ï¸ 

#Flare $FLR #FAssets $FBTC $FXRP $FDOGE #FlareNetworks #FlareCommunity $SGB #RWâ€¦",2025-03-17 04:59:09+00:00,rt ck113311 flare flr walk away darknessâ˜€ï¸ flare flr fassets fbtc fxrp fdoge flarenetworks flarecommunity sgb rwâ€¦,neutral
,"bullish
@Ammo_AI #AI #ammo",2025-03-17 04:59:08+00:00,bullish ammoai ai ammo,neutral
,RT @OrangeKiwi_Ai: #AIArt #AIã‚¤ãƒ©ã‚¹ãƒˆ #stablediffusion #AI #AIArtworks https://t.co/eIsYYAJesR,2025-03-17 04:59:03+00:00,rt orangekiwiai aiart aiã‚¤ãƒ©ã‚¹ãƒˆ stablediffusion ai aiartworks,neutral
,"The early users of #CryptoReplyGen are already seeing crazy engagement spikes. ğŸ‘€

I might limit access soon. If you want to get in before everyone else, try it now. ğŸš€ 

https://t.co/Ik4jJDnMzH

#ai #web3dev #aidev #blockchain #crypto https://t.co/YtVRDTtb7k",2025-03-17 04:59:00+00:00,early users cryptoreplygen already seeing crazy engagement spikes ğŸ‘€ might limit access soon want get everyone else try ğŸš€ ai web3dev aidev blockchain crypto,positive
,"RT @girlsexof: Hi, nice to see youğŸ¥°

How was your day?ğŸ˜Š

Ready to chat with you hereğŸ‘‡
https://t.co/BEJue612xf

*by AI
#adult #nsfw #xxx #seâ€¦",2025-03-17 04:58:59+00:00,rt girlsexof hi nice see youğŸ¥° dayğŸ˜Š ready chat hereğŸ‘‡ ai adult nsfw xxx seâ€¦,positive
,AI + Blockchain = The ultimate tech duo. ğŸ¤–â›“ï¸ #AI #Web3 #Innovation #zelena,2025-03-17 04:58:56+00:00,ai blockchain ultimate tech duo ğŸ¤–â›“ï¸ ai web3 innovation zelena,positive
,"RT @MerchverseAI: Threads of innovation, woven into the future of e-commerce. ğŸŒâœ¨

The seamless blend of #AI, #Web3, and creativity that powâ€¦",2025-03-17 04:58:53+00:00,rt merchverseai threads innovation woven future ecommerce ğŸŒâœ¨ seamless blend ai web3 creativity powâ€¦,positive
,@Ammo_AI #AI #ammo this is good project.ğŸ¤ªğŸ¤ ğŸ¥³,2025-03-17 04:58:52+00:00,ammoai ai ammo good projectğŸ¤ªğŸ¤ ğŸ¥³,positive
,RT @OrangeKiwi_Ai: #AIArt #AIã‚¤ãƒ©ã‚¹ãƒˆ #stablediffusion #AI #AIArtworks https://t.co/OuzsLRysrg,2025-03-17 04:58:48+00:00,rt orangekiwiai aiart aiã‚¤ãƒ©ã‚¹ãƒˆ stablediffusion ai aiartworks,neutral
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI â€“ The Future of Scientific Collaboration ğŸ™ï¸ğŸ”— Tune in now: https://â€¦,2025-03-17 04:58:46+00:00,rt cessstorage live join us exclusive space desci amp ai â€“ future scientific collaboration ğŸ™ï¸ğŸ”— tune,positive
,"RT @LabourMinistry: India strengthening its collaboration with ILO to advance #LabourMobility, #SocialJustice, #ResponsibleBusinessConduct,â€¦",2025-03-17 04:58:46+00:00,rt labourministry india strengthening collaboration ilo advance labourmobility socialjustice responsiblebusinessconductâ€¦,positive
,"RT @rizzen_wolf: Chillin with the chill rat

#Furry #Ai https://t.co/RLrM0Odf8i",2025-03-17 04:58:43+00:00,rt rizzenwolf chillin chill rat furry ai,neutral
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI â€“ The Future of Scientific Collaboration ğŸ™ï¸ğŸ”— Tune in now: https://â€¦,2025-03-17 04:58:34+00:00,rt cessstorage live join us exclusive space desci amp ai â€“ future scientific collaboration ğŸ™ï¸ğŸ”— tune,positive
,"RT @GScamass: ALWAYS DEEPER
GO HARDER
DONT STOP
YOUR PORN ADDICTION IS THE ONLY THING THAT MATTERS

IT CANNOT BE BAD IF IT FEELS THIS GOODâ€¦",2025-03-17 04:58:34+00:00,rt gscamass always deeper go harder dont stop porn addiction thing matters cannot bad feels goodâ€¦,positive
,RT @BS_comics: Kat-ra off the page... one of my original 3D superhero comics on my Patreon site #nsfw #r34 #rule34 #adultcomics #superheroâ€¦,2025-03-17 04:58:31+00:00,rt bscomics katra page one original 3d superhero comics patreon site nsfw r34 rule34 adultcomics superheroâ€¦,positive
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI â€“ The Future of Scientific Collaboration ğŸ™ï¸ğŸ”— Tune in now: https://â€¦,2025-03-17 04:58:30+00:00,rt cessstorage live join us exclusive space desci amp ai â€“ future scientific collaboration ğŸ™ï¸ğŸ”— tune,positive
,#AIArena #Neuron #NRN $NRN #ArenaxLabs #AI @AI #ARC #AIGaming #ARCAgents #G3 #GAM3Sgg #GAM3 #GAM3S #MagicEden @MagicEden #Eden @GAM3Sgg_ #Choice #GAM3Awards #LOCKED #LIVE #ET #NFT #Game #Gamer #Gaming #Crypto #Coin #Token #Today #Day #UP #Pump #ArenaX #EA @EA #Bullrun #Bullish https://t.co/y9Bfcj9OxV,2025-03-17 04:58:29+00:00,aiarena neuron nrn nrn arenaxlabs ai ai arc aigaming arcagents g3 gam3sgg gam3 gam3s magiceden magiceden eden gam3sgg choice gam3awards locked live et nft game gamer gaming crypto coin token today day pump arenax ea ea bullrun bullish,neutral
,RT @skepteis: We're offering a fully funded PhD at the intersection of #ML/#AI and the life sciences with a focus on sustainability and cheâ€¦,2025-03-17 04:58:28+00:00,rt skepteis offering fully funded phd intersection mlai life sciences focus sustainability cheâ€¦,neutral
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI â€“ The Future of Scientific Collaboration ğŸ™ï¸ğŸ”— Tune in now: https://â€¦,2025-03-17 04:58:27+00:00,rt cessstorage live join us exclusive space desci amp ai â€“ future scientific collaboration ğŸ™ï¸ğŸ”— tune,positive
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI â€“ The Future of Scientific Collaboration ğŸ™ï¸ğŸ”— Tune in now: https://â€¦,2025-03-17 04:58:26+00:00,rt cessstorage live join us exclusive space desci amp ai â€“ future scientific collaboration ğŸ™ï¸ğŸ”— tune,positive
,RT @Fumao923: ãƒ¡ãƒ¢ã€‚é‡è¦ãªãƒã‚¤ãƒ³ãƒˆã¯ã€Cursorã‚’åˆ©ç”¨ã™ã‚‹ã“ã¨ã§é–‹ç™ºçµŒé¨“ã‚¼ãƒ­ã®PMã§ã‚‚æ¥­å‹™ã‚’åœ§å€’çš„ã«åŠ¹ç‡åŒ–ã§ãã‚‹ç‚¹ã€‚ #AI #Tech https://t.co/UbbTMK6gCO,2025-03-17 04:58:23+00:00,rt fumao923 ãƒ¡ãƒ¢ã€‚é‡è¦ãªãƒã‚¤ãƒ³ãƒˆã¯ã€cursorã‚’åˆ©ç”¨ã™ã‚‹ã“ã¨ã§é–‹ç™ºçµŒé¨“ã‚¼ãƒ­ã®pmã§ã‚‚æ¥­å‹™ã‚’åœ§å€’çš„ã«åŠ¹ç‡åŒ–ã§ãã‚‹ç‚¹ã€‚ ai tech,neutral
,#AIArena #Neuron #NRN $NRN #ArenaxLabs #AI @AI #ARC #AIGaming #ARCAgents #G3 #GAM3Sgg #GAM3 #GAM3S #MagicEden @MagicEden #Eden @GAM3Sgg_ #Choice #GAM3Awards #LOCKED #LIVE #ET #NFT #Game #Gamer #Gaming #Crypto #Coin #Token #Today #Day #UP #Pump #ArenaX #EA @EA #Bullrun #Bullish https://t.co/8brisFitb6,2025-03-17 04:58:23+00:00,aiarena neuron nrn nrn arenaxlabs ai ai arc aigaming arcagents g3 gam3sgg gam3 gam3s magiceden magiceden eden gam3sgg choice gam3awards locked live et nft game gamer gaming crypto coin token today day pump arenax ea ea bullrun bullish,neutral
,RT @TechFieldDay: ICYMI: @TechFieldDayPod - AI Innovation Inevitably Drives Massive Energy Consumption. Recorded at @TechFieldDay  #AIFD6 fâ€¦,2025-03-17 04:58:22+00:00,rt techfieldday icymi techfielddaypod ai innovation inevitably drives massive energy consumption recorded techfieldday aifd6 fâ€¦,positive
,RT @RawDaddies: ğŸ‡¹ğŸ‡· #nsfw #videoai #fuck #bear #grandpa #silverdaddy #fat #chubby #daddy #daddybear #mature #dilf #oldman #gay #cock #penisâ€¦,2025-03-17 04:58:11+00:00,rt rawdaddies ğŸ‡¹ğŸ‡· nsfw videoai fuck bear grandpa silverdaddy fat chubby daddy daddybear mature dilf oldman gay cock penisâ€¦,negative
,"Animatronics use robotic devices to emulate lifelike movements 
by @WillCogley

#ArtificialIntelligence #MachineLearning #Robotics #AI #ML #MI

cc: @karpathy @bernardmarr @paula_piccard https://t.co/sBTzjJKKj3",2025-03-17 04:58:10+00:00,animatronics use robotic devices emulate lifelike movements willcogley artificialintelligence machinelearning robotics ai ml mi cc karpathy bernardmarr paulapiccard,neutral
,"@AltrElon Meanwhile, @PublicAIData's revolution is bridging the gap between humans &amp; AI, making expertise worth more than just a neural link #AI #FutureOfWork",2025-03-17 04:58:05+00:00,altrelon meanwhile publicaidatas revolution bridging gap humans amp ai making expertise worth neural link ai futureofwork,positive
,"RT @MerchverseAI: Threads of innovation, woven into the future of e-commerce. ğŸŒâœ¨

The seamless blend of #AI, #Web3, and creativity that powâ€¦",2025-03-17 04:57:59+00:00,rt merchverseai threads innovation woven future ecommerce ğŸŒâœ¨ seamless blend ai web3 creativity powâ€¦,positive
,@imagesaicouldnt Brainpower meets blockchain!  PublicAI's got the data fuel to power the future. ğŸš€  #AI #Web3,2025-03-17 04:57:55+00:00,imagesaicouldnt brainpower meets blockchain publicais got data fuel power future ğŸš€ ai web3,neutral
,"ğŸƒ Iâ€™ve just started earning Bytes on @despeednet - the worldâ€™s first decentralized network for internet speed verification! ğŸŒ

âš™ï¸ Set up your #DeSpeed Validator today and start earning Bytes.

ğŸ‘‰ Kickstart your journey here: https://t.co/0eekgvV1w7

#Depin #Extension #Web3 #AI",2025-03-17 04:57:50+00:00,ğŸƒ iâ€™ve started earning bytes despeednet worldâ€™s first decentralized network internet speed verification ğŸŒ âš™ï¸ set despeed validator today start earning bytes ğŸ‘‰ kickstart journey depin extension web3 ai,neutral
,"RT @_lovenight: No.448 38P cow girl
Download more -&gt; https://t.co/XcrMxe248L
#lovenight #stablediffusion #Realistic #aigirls #AIart #Aiç¾å¥³ #â€¦",2025-03-17 04:57:48+00:00,rt lovenight no448 38p cow girl download gt lovenight stablediffusion realistic aigirls aiart aiç¾å¥³ â€¦,positive
,@Ammo_AI #AI #ammo this is very nice project.ğŸ˜…,2025-03-17 04:57:45+00:00,ammoai ai ammo nice projectğŸ˜…,positive
,"RT @umino96: å”ä¼šä¼šé•·
ï¼šã¾ã ç¾å½¹ã ã­ã€ä¼šé•·ã€‚

#AIart #AI #NSFW #gay #yaoi #stablediffusion #sololeveling #gogunhee https://t.co/M8PyehPrXo",2025-03-17 04:57:43+00:00,rt umino96 å”ä¼šä¼šé•· ï¼šã¾ã ç¾å½¹ã ã­ã€ä¼šé•·ã€‚ aiart ai nsfw gay yaoi stablediffusion sololeveling gogunhee,neutral
,"RT @_lovenight: No.449 78P Angel Girl
Download more -&gt; https://t.co/XcrMxe248L #lovenight #stablediffusion #Realistic #aigirls #AIart #Aiç¾å¥³â€¦",2025-03-17 04:57:39+00:00,rt lovenight no449 78p angel girl download gt lovenight stablediffusion realistic aigirls aiart aiç¾å¥³â€¦,positive
,#Trading #Finance $DEX #Today $Today #USAToday #News $BTCO $BTC $HODL $BTCW $FBTC $EZBC $IBIT $BRRR $SOFI $DOGE $SHIB $ETH $AMC #China #Asia #London #Paris #Japan #UK #HongKong #Tokyo #France #Taiwan #Crypto #Tesla #Ethererum #Dogecoin #Shanghai #Shibainu #Fintech #AI #CNBC #xAI https://t.co/KfaYMOFhfN,2025-03-17 04:57:38+00:00,trading finance dex today today usatoday news btco btc hodl btcw fbtc ezbc ibit brrr sofi doge shib eth amc china asia london paris japan uk hongkong tokyo france taiwan crypto tesla ethererum dogecoin shanghai shibainu fintech ai cnbc xai,neutral
,"RT @girlsexof: Hi, nice to see youğŸ¥°

How was your day?ğŸ˜Š

Ready to chat with you hereğŸ‘‡
https://t.co/BEJue612xf

*by AI
#adult #nsfw #xxx #seâ€¦",2025-03-17 04:57:37+00:00,rt girlsexof hi nice see youğŸ¥° dayğŸ˜Š ready chat hereğŸ‘‡ ai adult nsfw xxx seâ€¦,positive
,"Hong Kong is looking to boost its position as a hub for emerging technologies with its latest #AI investment; meanwhile, Arm expands AI use cases with #IoT.

https://t.co/8DqPCaTRWa",2025-03-17 04:57:35+00:00,hong kong looking boost position hub emerging technologies latest ai investment meanwhile arm expands ai use cases iot,positive
